Algorithm,Level,Events,Uncompressed,Compressed,Time,Filename,Iteration
LZMA,0,1000,12947519112,12947477664,828.5167472362518,step4_LZMA0_1000.root,0
LZMA,0,1000,12947593712,12947552264,832.8078739643097,step4_LZMA0_1000.root,1
LZMA,0,1000,12947657341,12947615893,831.7623109817505,step4_LZMA0_1000.root,2
LZMA,0,1000,12947609887,12947568439,833.3782958984375,step4_LZMA0_1000.root,3
LZMA,0,1000,12947646796,12947605348,830.1257667541504,step4_LZMA0_1000.root,4
LZMA,0,1000,12947589954,12947548506,834.7581965923309,step4_LZMA0_1000.root,5
LZMA,0,1000,12947492696,12947451248,830.9160964488983,step4_LZMA0_1000.root,6
LZMA,0,1000,12947681679,12947640231,829.324205160141,step4_LZMA0_1000.root,7
LZMA,0,1000,12947596692,12947555244,829.3294920921326,step4_LZMA0_1000.root,8
LZMA,0,1000,12947562158,12947520710,831.7952272891998,step4_LZMA0_1000.root,9
LZMA,1,1000,12457274089,4516780443,965.3104631900787,step4_LZMA1_1000.root,0
LZMA,1,1000,12457293793,4517003733,964.7467947006226,step4_LZMA1_1000.root,1
LZMA,1,1000,12457295819,4516808341,963.7011907100677,step4_LZMA1_1000.root,2
LZMA,1,1000,12457301069,4517055577,961.6024653911591,step4_LZMA1_1000.root,3
LZMA,1,1000,12457280505,4516761072,963.2938907146454,step4_LZMA1_1000.root,4
LZMA,1,1000,12457279045,4516781234,962.6381132602692,step4_LZMA1_1000.root,5
LZMA,1,1000,12457295627,4516640150,962.8719472885132,step4_LZMA1_1000.root,6
LZMA,1,1000,12457278391,4517019157,963.1601777076721,step4_LZMA1_1000.root,7
LZMA,1,1000,12457301529,4516806295,965.3068201541901,step4_LZMA1_1000.root,8
LZMA,1,1000,12457287458,4516764399,964.4983491897583,step4_LZMA1_1000.root,9
LZMA,2,1000,12403597282,4431029990,964.0249576568604,step4_LZMA2_1000.root,0
LZMA,2,1000,12403592972,4430876285,962.1389901638031,step4_LZMA2_1000.root,1
LZMA,2,1000,12403604009,4430893113,966.1960155963898,step4_LZMA2_1000.root,2
LZMA,2,1000,12403586646,4430584459,962.2914292812347,step4_LZMA2_1000.root,3
LZMA,2,1000,12403595724,4430935661,964.5228404998779,step4_LZMA2_1000.root,4
LZMA,2,1000,12403598677,4431206653,965.7940304279327,step4_LZMA2_1000.root,5
LZMA,2,1000,12403596914,4431163166,963.1722502708435,step4_LZMA2_1000.root,6
LZMA,2,1000,12403600277,4431283548,962.3255007266998,step4_LZMA2_1000.root,7
LZMA,2,1000,12403563713,4430946084,966.0985324382782,step4_LZMA2_1000.root,8
LZMA,2,1000,12403587159,4430932403,962.8522663116455,step4_LZMA2_1000.root,9
LZMA,3,1000,12403590096,4422343582,972.9616105556488,step4_LZMA3_1000.root,0
LZMA,3,1000,12403588327,4422454636,970.3479211330414,step4_LZMA3_1000.root,1
LZMA,3,1000,12403590248,4422494765,972.2158675193787,step4_LZMA3_1000.root,2
LZMA,3,1000,12403578716,4422482814,970.9017751216888,step4_LZMA3_1000.root,3
LZMA,3,1000,12403572562,4422507326,971.0132925510406,step4_LZMA3_1000.root,4
LZMA,3,1000,12403584951,4422310545,973.0743889808655,step4_LZMA3_1000.root,5
LZMA,3,1000,12403605975,4422458314,969.9614109992981,step4_LZMA3_1000.root,6
LZMA,3,1000,12403578822,4422307797,970.1826982498169,step4_LZMA3_1000.root,7
LZMA,3,1000,12403591201,4422226227,970.6898458003998,step4_LZMA3_1000.root,8
LZMA,3,1000,12403600264,4422431007,973.5687816143036,step4_LZMA3_1000.root,9
LZMA,4,1000,12403590935,4332587462,1024.4507977962494,step4_LZMA4_1000.root,0
LZMA,4,1000,12403591974,4332905639,1021.6669018268585,step4_LZMA4_1000.root,1
LZMA,4,1000,12403599701,4332793684,1022.5982577800751,step4_LZMA4_1000.root,2
LZMA,4,1000,12403580721,4332775524,1025.874388217926,step4_LZMA4_1000.root,3
LZMA,4,1000,12403577221,4332904118,1024.9783725738525,step4_LZMA4_1000.root,4
LZMA,4,1000,12403589444,4332725267,1024.7814502716064,step4_LZMA4_1000.root,5
LZMA,4,1000,12403603904,4332733341,1024.862919807434,step4_LZMA4_1000.root,6
LZMA,4,1000,12403585540,4332760361,1020.8821482658386,step4_LZMA4_1000.root,7
LZMA,4,1000,12403572752,4332716207,1025.1861999034882,step4_LZMA4_1000.root,8
LZMA,4,1000,12403602968,4332828789,1024.587274312973,step4_LZMA4_1000.root,9
LZMA,5,1000,12403583631,4294002201,1058.3698258399963,step4_LZMA5_1000.root,0
LZMA,5,1000,12403585364,4294027450,1060.8505918979645,step4_LZMA5_1000.root,1
LZMA,5,1000,12403618191,4294078034,1056.8456490039825,step4_LZMA5_1000.root,2
LZMA,5,1000,12403585399,4293853579,1055.2767369747162,step4_LZMA5_1000.root,3
LZMA,5,1000,12403586530,4293903806,1059.863859653473,step4_LZMA5_1000.root,4
LZMA,5,1000,12403593744,4294267350,1059.3971486091614,step4_LZMA5_1000.root,5
LZMA,5,1000,12403593029,4293978101,1057.3107063770294,step4_LZMA5_1000.root,6
LZMA,5,1000,12403584944,4293967804,1062.761556148529,step4_LZMA5_1000.root,7
LZMA,5,1000,12403588141,4293931924,1059.6489770412445,step4_LZMA5_1000.root,8
LZMA,5,1000,12403589551,4293791719,1058.094223499298,step4_LZMA5_1000.root,9
LZMA,6,1000,12403587138,4237854739,1109.2372312545776,step4_LZMA6_1000.root,0
LZMA,6,1000,12403583909,4237963809,1113.0256233215332,step4_LZMA6_1000.root,1
LZMA,6,1000,12403598244,4237767901,1108.5118534564972,step4_LZMA6_1000.root,2
LZMA,6,1000,12403571938,4237806856,1108.6330437660217,step4_LZMA6_1000.root,3
LZMA,6,1000,12403579614,4237892039,1106.2633783817291,step4_LZMA6_1000.root,4
LZMA,6,1000,12403575573,4237817821,1106.958284854889,step4_LZMA6_1000.root,5
LZMA,6,1000,12403584319,4237820298,1110.6820793151855,step4_LZMA6_1000.root,6
LZMA,6,1000,12403592948,4237771741,1106.6320753097534,step4_LZMA6_1000.root,7
LZMA,6,1000,12403590862,4237790506,1106.0868518352509,step4_LZMA6_1000.root,8
LZMA,6,1000,12403597478,4237804733,1105.3872559070587,step4_LZMA6_1000.root,9
LZMA,7,1000,12403604442,4237896777,1107.3462882041931,step4_LZMA7_1000.root,0
LZMA,7,1000,12403582610,4237882362,1110.592423915863,step4_LZMA7_1000.root,1
LZMA,7,1000,12403587111,4237877374,1109.469809293747,step4_LZMA7_1000.root,2
LZMA,7,1000,12403595064,4237792557,1109.4888014793396,step4_LZMA7_1000.root,3
LZMA,7,1000,12403593918,4237989119,1109.0523045063019,step4_LZMA7_1000.root,4
LZMA,7,1000,12403574125,4237851337,1109.0178802013397,step4_LZMA7_1000.root,5
LZMA,7,1000,12403581133,4237872089,1109.4535937309265,step4_LZMA7_1000.root,6
LZMA,7,1000,12403599706,4237672128,1110.4178295135498,step4_LZMA7_1000.root,7
LZMA,7,1000,12403595564,4238018776,1111.318123102188,step4_LZMA7_1000.root,8
LZMA,7,1000,12403572717,4237840811,1109.743965625763,step4_LZMA7_1000.root,9
LZMA,8,1000,12403593861,4237789095,1109.672503232956,step4_LZMA8_1000.root,0
LZMA,8,1000,12403581643,4237833050,1105.6200215816498,step4_LZMA8_1000.root,1
LZMA,8,1000,12403581251,4237877132,1108.1998760700226,step4_LZMA8_1000.root,2
LZMA,8,1000,12403594694,4237926753,1104.8188169002533,step4_LZMA8_1000.root,3
LZMA,8,1000,12403574530,4237814196,1109.4503302574158,step4_LZMA8_1000.root,4
LZMA,8,1000,12403573101,4237694451,1108.4724118709564,step4_LZMA8_1000.root,5
LZMA,8,1000,12403594443,4238062438,1107.746808052063,step4_LZMA8_1000.root,6
LZMA,8,1000,12403574963,4237725391,1106.4734706878662,step4_LZMA8_1000.root,7
LZMA,8,1000,12403584633,4237776885,1107.7777671813965,step4_LZMA8_1000.root,8
LZMA,8,1000,12403628270,4238016383,1104.9128704071045,step4_LZMA8_1000.root,9
LZMA,9,1000,12403585649,4237816117,1104.7102913856506,step4_LZMA9_1000.root,0
LZMA,9,1000,12403601612,4237772802,1109.528170824051,step4_LZMA9_1000.root,1
LZMA,9,1000,12403569316,4237833847,1105.3380312919617,step4_LZMA9_1000.root,2
LZMA,9,1000,12403584936,4237782793,1108.6923220157623,step4_LZMA9_1000.root,3
LZMA,9,1000,12403583911,4237975135,1112.8114969730377,step4_LZMA9_1000.root,4
LZMA,9,1000,12403583917,4237921899,1112.5153698921204,step4_LZMA9_1000.root,5
LZMA,9,1000,12403593638,4237806229,1110.5925467014313,step4_LZMA9_1000.root,6
LZMA,9,1000,12403604763,4238008637,1109.07452917099,step4_LZMA9_1000.root,7
LZMA,9,1000,12403598948,4237998641,1108.4460792541504,step4_LZMA9_1000.root,8
LZMA,9,1000,12403592798,4237878030,1106.092572927475,step4_LZMA9_1000.root,9
ZLIB,0,1000,12947735158,12947693710,826.6024131774902,step4_ZLIB0_1000.root,0
ZLIB,0,1000,12947544360,12947502912,831.4899778366089,step4_ZLIB0_1000.root,1
ZLIB,0,1000,12947510760,12947469312,837.3869588375092,step4_ZLIB0_1000.root,2
ZLIB,0,1000,12947542974,12947501526,830.8315842151642,step4_ZLIB0_1000.root,3
ZLIB,0,1000,12947656730,12947615282,840.4705731868744,step4_ZLIB0_1000.root,4
ZLIB,0,1000,12947495930,12947454482,831.278706073761,step4_ZLIB0_1000.root,5
ZLIB,0,1000,12947715574,12947674126,830.0168886184692,step4_ZLIB0_1000.root,6
ZLIB,0,1000,12947588594,12947547146,825.2338349819183,step4_ZLIB0_1000.root,7
ZLIB,0,1000,12947511526,12947470078,830.8130114078522,step4_ZLIB0_1000.root,8
ZLIB,0,1000,12947449146,12947407698,828.1132037639618,step4_ZLIB0_1000.root,9
ZLIB,1,1000,12457319834,5237199035,841.0384039878845,step4_ZLIB1_1000.root,0
ZLIB,1,1000,12457320890,5237032801,838.5690190792084,step4_ZLIB1_1000.root,1
ZLIB,1,1000,12457287566,5237022039,843.2161402702332,step4_ZLIB1_1000.root,2
ZLIB,1,1000,12457287111,5237141242,838.297415971756,step4_ZLIB1_1000.root,3
ZLIB,1,1000,12457305669,5237133017,843.3495697975159,step4_ZLIB1_1000.root,4
ZLIB,1,1000,12457310826,5237093792,842.8455221652985,step4_ZLIB1_1000.root,5
ZLIB,1,1000,12457297016,5237038637,837.9472723007202,step4_ZLIB1_1000.root,6
ZLIB,1,1000,12457326097,5237143614,839.742769241333,step4_ZLIB1_1000.root,7
ZLIB,1,1000,12457295554,5237022908,840.3937141895294,step4_ZLIB1_1000.root,8
ZLIB,1,1000,12457301776,5237115642,838.1939318180084,step4_ZLIB1_1000.root,9
ZLIB,2,1000,12457299717,5201530700,839.8931186199188,step4_ZLIB2_1000.root,0
ZLIB,2,1000,12457286809,5201618355,841.292206287384,step4_ZLIB2_1000.root,1
ZLIB,2,1000,12457295722,5201636100,842.9140558242798,step4_ZLIB2_1000.root,2
ZLIB,2,1000,12457306854,5201674325,845.339695930481,step4_ZLIB2_1000.root,3
ZLIB,2,1000,12457319292,5201703795,844.4220600128174,step4_ZLIB2_1000.root,4
ZLIB,2,1000,12457310969,5201547675,838.2495992183685,step4_ZLIB2_1000.root,5
ZLIB,2,1000,12457307452,5201679788,840.8659179210663,step4_ZLIB2_1000.root,6
ZLIB,2,1000,12457309622,5201682906,846.2776381969452,step4_ZLIB2_1000.root,7
ZLIB,2,1000,12457300032,5201791417,842.5175721645355,step4_ZLIB2_1000.root,8
ZLIB,2,1000,12457311923,5201686322,845.9266946315765,step4_ZLIB2_1000.root,9
ZLIB,3,1000,12457298270,5128000766,844.8844940662384,step4_ZLIB3_1000.root,0
ZLIB,3,1000,12457303885,5127988083,851.2520294189453,step4_ZLIB3_1000.root,1
ZLIB,3,1000,12457297945,5128025751,843.1980288028717,step4_ZLIB3_1000.root,2
ZLIB,3,1000,12457307485,5128010983,844.6501080989838,step4_ZLIB3_1000.root,3
ZLIB,3,1000,12457293655,5127929968,842.9178690910339,step4_ZLIB3_1000.root,4
ZLIB,3,1000,12457313296,5128108175,845.4499545097351,step4_ZLIB3_1000.root,5
ZLIB,3,1000,12457309530,5128027413,849.0913689136505,step4_ZLIB3_1000.root,6
ZLIB,3,1000,12457296236,5128007178,846.4902291297913,step4_ZLIB3_1000.root,7
ZLIB,3,1000,12457295512,5127985783,846.4379208087921,step4_ZLIB3_1000.root,8
ZLIB,3,1000,12457307395,5127897293,845.1699576377869,step4_ZLIB3_1000.root,9
ZLIB,4,1000,12457308774,5093777345,845.6813914775848,step4_ZLIB4_1000.root,0
ZLIB,4,1000,12457300570,5093803641,847.2353990077972,step4_ZLIB4_1000.root,1
ZLIB,4,1000,12457296825,5093546118,843.37921667099,step4_ZLIB4_1000.root,2
ZLIB,4,1000,12457299231,5093525237,844.6042602062225,step4_ZLIB4_1000.root,3
ZLIB,4,1000,12457289353,5093539515,846.6251380443573,step4_ZLIB4_1000.root,4
ZLIB,4,1000,12457279236,5093524343,846.8686571121216,step4_ZLIB4_1000.root,5
ZLIB,4,1000,12457287683,5093633928,849.6940913200378,step4_ZLIB4_1000.root,6
ZLIB,4,1000,12457333531,5093702053,845.3663611412048,step4_ZLIB4_1000.root,7
ZLIB,4,1000,12457294966,5093616868,851.098313331604,step4_ZLIB4_1000.root,8
ZLIB,4,1000,12457301485,5093478544,850.5594930648804,step4_ZLIB4_1000.root,9
ZLIB,5,1000,12457334942,5023533944,854.6755607128143,step4_ZLIB5_1000.root,0
ZLIB,5,1000,12457281371,5023457735,852.6875114440918,step4_ZLIB5_1000.root,1
ZLIB,5,1000,12457294310,5023431012,849.2500712871552,step4_ZLIB5_1000.root,2
ZLIB,5,1000,12457293141,5023543785,855.2825202941895,step4_ZLIB5_1000.root,3
ZLIB,5,1000,12457274080,5023360684,852.8002378940582,step4_ZLIB5_1000.root,4
ZLIB,5,1000,12457298201,5023424030,851.2282664775848,step4_ZLIB5_1000.root,5
ZLIB,5,1000,12457280839,5023363943,858.3283882141113,step4_ZLIB5_1000.root,6
ZLIB,5,1000,12457298598,5023572195,851.7638142108917,step4_ZLIB5_1000.root,7
ZLIB,5,1000,12457288989,5023411990,851.7911138534546,step4_ZLIB5_1000.root,8
ZLIB,5,1000,12457277657,5023291272,852.3568646907806,step4_ZLIB5_1000.root,9
ZLIB,6,1000,12457286519,4963360987,874.4808957576752,step4_ZLIB6_1000.root,0
ZLIB,6,1000,12457307923,4963393923,872.1026434898376,step4_ZLIB6_1000.root,1
ZLIB,6,1000,12457295716,4963340295,875.2601742744446,step4_ZLIB6_1000.root,2
ZLIB,6,1000,12457293063,4963359695,873.6035196781158,step4_ZLIB6_1000.root,3
ZLIB,6,1000,12457310256,4963401636,874.1023190021515,step4_ZLIB6_1000.root,4
ZLIB,6,1000,12457314482,4963341751,878.5915689468384,step4_ZLIB6_1000.root,5
ZLIB,6,1000,12457322918,4963403271,874.2258734703064,step4_ZLIB6_1000.root,6
ZLIB,6,1000,12457293226,4963336693,875.6582934856415,step4_ZLIB6_1000.root,7
ZLIB,6,1000,12457305239,4963439502,874.5139725208282,step4_ZLIB6_1000.root,8
ZLIB,6,1000,12457327006,4963373011,874.134459733963,step4_ZLIB6_1000.root,9
ZLIB,7,1000,12457299148,4941839772,891.937616109848,step4_ZLIB7_1000.root,0
ZLIB,7,1000,12457280379,4941880697,891.3265106678009,step4_ZLIB7_1000.root,1
ZLIB,7,1000,12457327113,4941902392,892.1875603199005,step4_ZLIB7_1000.root,2
ZLIB,7,1000,12457303358,4941869983,891.305326461792,step4_ZLIB7_1000.root,3
ZLIB,7,1000,12457298087,4941931682,890.7552936077118,step4_ZLIB7_1000.root,4
ZLIB,7,1000,12457284102,4941928012,891.7364792823792,step4_ZLIB7_1000.root,5
ZLIB,7,1000,12457282800,4942064455,893.8976392745972,step4_ZLIB7_1000.root,6
ZLIB,7,1000,12457318406,4941944396,893.0000069141388,step4_ZLIB7_1000.root,7
ZLIB,7,1000,12457304115,4942058245,893.1172649860382,step4_ZLIB7_1000.root,8
ZLIB,7,1000,12457302408,4942177955,892.257838010788,step4_ZLIB7_1000.root,9
ZLIB,8,1000,12457300726,4904427071,963.0482985973358,step4_ZLIB8_1000.root,0
ZLIB,8,1000,12457320518,4904246939,965.1809985637665,step4_ZLIB8_1000.root,1
ZLIB,8,1000,12457283667,4904444924,967.880362033844,step4_ZLIB8_1000.root,2
ZLIB,8,1000,12457292143,4904399857,966.7147262096405,step4_ZLIB8_1000.root,3
ZLIB,8,1000,12457295556,4904295873,965.7273156642914,step4_ZLIB8_1000.root,4
ZLIB,8,1000,12457267183,4904288968,964.6710143089294,step4_ZLIB8_1000.root,5
ZLIB,8,1000,12457277412,4904425300,964.5207221508026,step4_ZLIB8_1000.root,6
ZLIB,8,1000,12457301064,4904422338,960.5796096324921,step4_ZLIB8_1000.root,7
ZLIB,8,1000,12457329204,4904425004,966.223845243454,step4_ZLIB8_1000.root,8
ZLIB,8,1000,12457301712,4904204888,966.5803689956665,step4_ZLIB8_1000.root,9
ZLIB,9,1000,12457278716,4885326721,1170.6042289733887,step4_ZLIB9_1000.root,0
ZLIB,9,1000,12457252247,4885416531,1174.8032023906708,step4_ZLIB9_1000.root,1
ZLIB,9,1000,12457254772,4885399094,1174.5331757068634,step4_ZLIB9_1000.root,2
ZLIB,9,1000,12457290526,4885447713,1175.2364630699158,step4_ZLIB9_1000.root,3
ZLIB,9,1000,12457269606,4885461268,1179.2457067966461,step4_ZLIB9_1000.root,4
ZLIB,9,1000,12457273993,4885592416,1174.1846575737,step4_ZLIB9_1000.root,5
ZLIB,9,1000,12457260140,4885371234,1173.2416589260101,step4_ZLIB9_1000.root,6
